Rank,Movie,Release Date,Distributor,Genre,2020 Gross,Tickets Sold,id,titleType,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
392,10 Days With Dad,2020-11-20T00:00:00Z,Distrib Films,Comedy,856,93,NA,NA,NA,NA,NA,NA,NA,NA
393,Hustlers,2019-09-13T00:00:00Z,STX Entertainment,Drama,612,66,tt10950330,tvEpisode,Hustlers,0,2019,\N,\N,"Comedy,Talk-Show"
394,Night Shift,2020-11-20T00:00:00Z,Distrib Films,Drama,534,58,tt0033953,short,Night Shift,0,1942,\N,14,"Documentary,Short"
395,Mickey and the Bear,2019-11-15T00:00:00Z,Self Distributed,Drama,528,57,tt9614440,movie,Mickey and the Bear,0,2019,\N,88,Drama
396,Granny Nanny,2020-11-27T00:00:00Z,Distrib Films,Comedy,432,47,tt10252330,movie,Enkel für Anfänger,0,2020,\N,104,Comedy
397,Sol,2020-11-20T00:00:00Z,Distrib Films,Comedy,327,35,tt0177239,short,Sol,0,1965,\N,8,"Documentary,Short"
398,Love by Drowning,2020-11-06T00:00:00Z,Dow Jazz Films,Drama,267,29,tt6192604,movie,Love by Drowning,0,\N,\N,\N,Drama
399,St. Patrick’s Day,2020-12-18T00:00:00Z,Self Distributed,Educational,260,28,NA,NA,NA,NA,NA,NA,NA,NA
400,It’s For Your Own Good,2020-11-27T00:00:00Z,Distrib Films,Comedy,256,27,NA,NA,NA,NA,NA,NA,NA,NA
401,A German Youth,2019-10-11T00:00:00Z,Big World Pictures,Documentary,166,1,tt10921806,movie,A German Youth,0,2019,\N,93,Documentary
