Rank,Movie,Release Date,Distributor,Genre,2020 Gross,Tickets Sold,id,titleType,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
257,Sorry We Missed You,2020-03-06T00:00:00Z,Zeitgeist,Drama,28273,3083,tt8359816,movie,Sorry We Missed You,0,2019,\N,101,Drama
258,Cane River,2020-02-07T00:00:00Z,Oscilloscope Pict…,Drama,27317,2978,tt0318346,movie,Cane River,0,1982,\N,104,"Drama,Romance"
259,José,2020-01-31T00:00:00Z,Outsider,Drama,26563,2896,tt0015962,movie,José,0,1926,\N,\N,Drama
260,Zombi Child,2020-01-24T00:00:00Z,Film Movement,Adventure,25878,2822,tt9056192,movie,Zombi Child,0,2019,\N,103,"Drama,Fantasy,Horror"
261,The Booksellers,2020-03-06T00:00:00Z,Greenwich,Documentary,25694,2801,tt9355194,movie,The Booksellers,0,2019,\N,99,Documentary
262,Unsubscribe,2020-06-10T00:00:00Z,Self Distributed,NA,25488,2779,tt11454650,tvSeries,Unsubscribe,0,2020,2020,44,Comedy
263,Disappearance at Clifton Hill,2020-02-28T00:00:00Z,IFC Midnight,Thriller/Suspense,25084,2735,tt5919756,movie,Clifton Hill,0,2019,\N,100,"Drama,Mystery,Thriller"
264,Heart of Africa,2020-03-13T00:00:00Z,Purdie Distribution,Drama,24139,2632,tt0320865,tvMiniSeries,Heart of Africa,0,1996,\N,\N,\N
265,Premature,2020-02-21T00:00:00Z,IFC Films,Drama,23071,2515,tt0865931,short,Premature,0,2006,\N,10,"Comedy,Short"
266,Promare,2019-09-17T00:00:00Z,GKIDS,Adventure,23053,2513,tt9116358,movie,Promare: Puromea,0,2019,\N,111,"Action,Adventure,Animation"
267,"Phoenix, Oregon",2019-04-26T00:00:00Z,Joma Films,Comedy,22755,2481,tt8586088,movie,"Phoenix, Oregon",0,2019,\N,108,Comedy
268,The Innocent (1979) (Re-Rel…,2020-02-14T00:00:00Z,Film Movement,Drama,22549,2458,NA,NA,NA,NA,NA,NA,NA,NA
269,Midnight Family,2019-12-06T00:00:00Z,1091 Media,Documentary,22327,2434,tt6010976,movie,Midnight Family,0,2019,\N,81,"Action,Crime,Documentary"
270,Tar,2020-10-02T00:00:00Z,Howling Wolf Prod…,Horror,22307,2432,tt0116490,movie,Tar,0,1996,\N,90,Drama
271,I Propose We Never See Each…,2020-08-28T00:00:00Z,NA,Romantic Comedy,21757,2372,NA,NA,NA,NA,NA,NA,NA,NA
272,Pandora and the Flying Dutc…,2020-02-07T00:00:00Z,Cohen Media Group,Drama,21536,2348,NA,NA,NA,NA,NA,NA,NA,NA
273,Hunter Hunter,2020-12-18T00:00:00Z,IFC Films,Horror,21296,2322,tt2226162,movie,Hunter Hunter,0,\N,\N,\N,"Horror,Thriller"
274,Young Ahmed,2020-02-21T00:00:00Z,Kino Lorber,Drama,21291,2321,tt8359822,movie,Le jeune Ahmed,0,2019,\N,85,Drama
275,The Cordillera of Dreams,2020-02-12T00:00:00Z,Icarus Films,Documentary,20943,2283,tt9567718,movie,La cordillère des songes,0,2019,\N,84,Documentary
276,Lore,2020-01-17T00:00:00Z,Indican Pictures,Thriller/Suspense,20006,2181,tt12908938,tvSeries,Lore,0,2015,\N,\N,"Documentary,History,Horror"
277,Quarantine Cat Film Fest,2020-06-19T00:00:00Z,Row House Cinema,Documentary,20000,2181,tt12348920,movie,Quarantine Cat Film Fest,0,2020,\N,84,Documentary
278,Synonyms,2019-10-25T00:00:00Z,Kino Lorber,Drama,19521,2128,tt7016254,movie,Synonymes,0,2019,\N,123,"Comedy,Drama"
279,Mandy,2018-09-14T00:00:00Z,RLJ Entertainment,Thriller/Suspense,19169,2090,tt0816750,tvEpisode,Mandy,0,2006,\N,\N,Reality-TV
280,Recorder: The Marion Stokes…,2019-11-15T00:00:00Z,Zeitgeist,Documentary,19109,2083,NA,NA,NA,NA,NA,NA,NA,NA
281,Foster Boy,2020-09-18T00:00:00Z,Gravitas Ventures,Drama,19046,2076,tt0581490,tvEpisode,Foster Boy,0,1963,\N,\N,Family
282,Sputnik,2020-08-14T00:00:00Z,IFC Midnight,Horror,18853,2055,tt0052232,movie,"À pied, à cheval et en spoutnik!",0,1958,\N,110,Comedy
283,The Jesus Rolls,2020-02-28T00:00:00Z,Screen Media Films,Comedy,18169,1981,tt11150046,tvEpisode,The Jesus Rolls,0,2019,\N,\N,Talk-Show
284,Sh*thouse,2020-10-16T00:00:00Z,IFC Films,Comedy,18148,1979,NA,NA,NA,NA,NA,NA,NA,NA
285,Downtown 81,2001-07-13T00:00:00Z,NA,Drama,17605,1919,tt0208993,movie,Downtown 81,0,2000,\N,72,"Comedy,Drama,Musical"
286,The Cave,2019-10-18T00:00:00Z,National Geograph…,Documentary,17529,1911,tt0239020,movie,De grot,0,2001,\N,90,"Crime,Mystery,Romance"
287,Balloon,2019-09-06T00:00:00Z,Distrib Films,Thriller/Suspense,17430,1900,tt0125668,short,Balloon,0,1991,\N,6,"Animation,Comedy,Horror"
288,"Never, Rarely, Sometimes, A…",2020-03-13T00:00:00Z,Focus Features,Drama,16565,1806,NA,NA,NA,NA,NA,NA,NA,NA
289,Centigrade,2020-08-28T00:00:00Z,IFC Films,Thriller/Suspense,16263,1773,tt1099942,short,Centigrade,0,2007,\N,17,"Short,Thriller"
290,Made in Hong Kong,2020-03-06T00:00:00Z,Metrograph Pictures,Comedy,16255,1772,tt0123328,movie,Heung Gong jai jo,0,1997,\N,109,"Comedy,Crime,Drama"
291,Branagh Theatre Live: The W…,2019-12-04T00:00:00Z,Trafalgar Releasing,Drama,15789,1721,NA,NA,NA,NA,NA,NA,NA,NA
292,Strike,2020-03-27T00:00:00Z,Indican Pictures,Adventure,15758,1718,tt0015361,movie,Stachka,0,1925,\N,82,Drama
293,Counter Column,2020-10-16T00:00:00Z,Not That Kind of …,Drama,15527,1693,tt8764942,movie,Counter Column,0,\N,\N,106,Drama
294,Zappa,2020-11-27T00:00:00Z,Magnolia Pictures,Documentary,15502,1690,tt0088445,movie,Zappa,0,1983,\N,103,"Comedy,Drama,Romance"
295,Vitalina Varela,2020-02-21T00:00:00Z,Grasshopper Film,Drama,14941,1629,tt8241872,movie,Vitalina Varela,0,2019,\N,124,Drama
296,"I Was at Home, But…",2020-02-14T00:00:00Z,Cinema Guild,Drama,14078,1535,NA,NA,NA,NA,NA,NA,NA,NA
297,Pahokee,2020-04-24T00:00:00Z,Monument Releasing,Documentary,13250,1444,tt7170704,movie,Pahokee,0,2019,\N,110,Documentary
298,The Wild Goose Lake,2020-03-06T00:00:00Z,Film Movement,Thriller/Suspense,12573,1371,tt9647768,movie,Nan fang che zhan de ju hui,0,2019,\N,113,"Crime,Drama"
299,Killer Raccoons 2: Dark Chr…,2020-07-31T00:00:00Z,Indican Pictures,Comedy,12382,1350,NA,NA,NA,NA,NA,NA,NA,NA
300,Those Who Remained,2020-02-14T00:00:00Z,Menemsha Entertai…,Drama,11862,1293,tt9081558,movie,Akik maradtak,0,2019,\N,83,Drama
301,Redoubt,2019-10-30T00:00:00Z,Grasshopper Film,Thriller/Suspense,11599,1264,tt11197874,movie,Redoubt,0,2019,\N,134,Drama
302,Twiceborn,2020-10-16T00:00:00Z,Freestyle Releasing,Drama,11527,1257,NA,NA,NA,NA,NA,NA,NA,NA
303,Les Misérables - The Staged…,2019-12-06T00:00:00Z,Trafalgar Releasing,Concert/Perfor…,11394,1242,NA,NA,NA,NA,NA,NA,NA,NA
304,Powerbomb,2020-03-06T00:00:00Z,Indican Pictures,Thriller/Suspense,11319,1234,tt6782632,movie,Powerbomb,0,2020,\N,79,Thriller
305,Lost in America,2020-02-28T00:00:00Z,Indican Pictures,Documentary,11301,1232,tt0089504,movie,Lost in America,0,1985,\N,91,Comedy
306,Charlie’s Angels,2019-11-15T00:00:00Z,Sony Pictures,Action,11125,1213,NA,NA,NA,NA,NA,NA,NA,NA
307,You go to my Head,2020-02-14T00:00:00Z,First Run Features,Drama,10683,1164,NA,NA,NA,NA,NA,NA,NA,NA
308,Circles: The Restorative Ju…,2020-05-15T00:00:00Z,Indican Pictures,Documentary,10260,1118,NA,NA,NA,NA,NA,NA,NA,NA
309,Coded Bias,2020-11-11T00:00:00Z,7th Empire Media,Documentary,10236,1116,tt11394170,movie,Coded Bias,0,2020,\N,90,Documentary
310,The Last Tree,2020-06-26T00:00:00Z,ArtMattan Films,Drama,10128,1104,tt5900822,short,The Last Tree,0,2014,\N,3,"Animation,Short"
311,Guest Artist,2020-07-10T00:00:00Z,Indican Pictures,Drama,10017,1092,tt1701033,tvEpisode,Guest Artist,0,1959,\N,30,Comedy
312,Foosballers,2020-02-11T00:00:00Z,Kicking and Scree…,Documentary,9966,1086,tt10146728,movie,Foosballers,0,2019,\N,96,"Comedy,Documentary,Sport"
313,The Truth,2020-07-03T00:00:00Z,IFC Films,Drama,9619,1048,tt0095124,movie,Fa nei qing,0,1988,\N,116,"Drama,Thriller"
314,Just One More Kiss,2020-02-21T00:00:00Z,Indican Pictures,Drama,9130,995,tt9035872,movie,Just One More Kiss,0,2019,\N,100,"Drama,Romance"
315,Stardust,2020-11-25T00:00:00Z,IFC Films,Drama,9087,990,tt0030221,movie,Stardust,0,1938,\N,75,"Comedy,Musical,Romance"
316,Kindred,2020-11-06T00:00:00Z,IFC Midnight,Thriller/Suspense,8921,972,tt10991278,short,Kindred,0,2019,\N,20,"Short,Thriller"
317,The Trip to Greece,2020-05-22T00:00:00Z,IFC Films,Comedy,8340,909,tt10482504,movie,The Trip to Greece,0,2020,\N,103,"Comedy,Drama"
318,Inside the Rain,2020-03-13T00:00:00Z,Sky Island,Romantic Comedy,8140,887,tt11029976,movie,Inside the Rain,0,2019,\N,90,"Comedy,Drama,Romance"
319,The Wave,2020-01-17T00:00:00Z,Epic Pictures Group,Thriller/Suspense,8101,883,tt0083316,tvShort,The Wave,0,1981,\N,44,"Biography,Drama,Family"
320,Kind Hearts and Coronets,2019-11-22T00:00:00Z,Rialto Pictures,Black Comedy,8055,878,tt0041546,movie,Kind Hearts and Coronets,0,1949,\N,106,"Comedy,Crime"
321,The Artist’s Wife,2020-09-25T00:00:00Z,Strand,Drama,7818,852,NA,NA,NA,NA,NA,NA,NA,NA
322,Advocate,2020-01-03T00:00:00Z,Film Movement,Documentary,7790,849,tt12439768,tvEpisode,Advocate,0,2020,\N,\N,\N
323,Linda Ronstadt: The Sound o…,2019-09-06T00:00:00Z,Greenwich,Documentary,7763,846,NA,NA,NA,NA,NA,NA,NA,NA
324,The Bra,2020-10-16T00:00:00Z,Indican Pictures,Comedy,7742,844,tt1067722,tvEpisode,The Bra,0,\N,\N,\N,\N
325,I Am Greta,2020-10-16T00:00:00Z,NA,Documentary,7574,825,tt10394738,movie,I Am Greta,0,2020,\N,97,Documentary
326,Lie Exposed,2020-03-06T00:00:00Z,Mongrel Media,Drama,7467,814,tt8262686,movie,Lie Exposed,0,2019,\N,93,Drama
327,Resistance,2020-04-17T00:00:00Z,IFC Films,Drama,7464,813,tt0081413,movie,Resistance,0,1976,\N,\N,\N
328,The Kingmaker,2019-11-08T00:00:00Z,Greenwich,Documentary,7334,799,tt0492995,video,The Kingmaker,0,2003,\N,\N,Drama
329,What We Found,2020-07-31T00:00:00Z,Freestyle Releasing,Thriller/Suspense,6975,760,tt3790666,short,What We Found,0,2014,\N,14,"Adventure,Mystery,Sci-Fi"
330,I Am Lisa,2020-10-09T00:00:00Z,Mutiny Pictures,Horror,6949,757,tt8952968,movie,I Am Lisa,0,2020,\N,92,"Horror,Thriller"
331,12 Hour Shift,2020-10-02T00:00:00Z,Magnolia Pictures,Thriller/Suspense,6820,743,tt10309552,movie,12 Hour Shift,0,2020,\N,86,"Comedy,Horror,Thriller"
332,Human Capital,2020-07-17T00:00:00Z,Vertical Entertai…,Drama,6596,719,tt1142213,tvEpisode,Human Capital,0,2001,\N,\N,Talk-Show
333,Afterward,2020-01-10T00:00:00Z,Abramorama Films,Documentary,6477,706,tt0297710,tvEpisode,Afterward,0,1983,\N,60,"Drama,Horror"
334,In the Life of Music,2020-08-14T00:00:00Z,Indican Pictures,Drama,6181,674,tt5496628,movie,In the Life of Music,0,2018,\N,92,"Drama,Family,History"
335,Blood Widow,2020-01-17T00:00:00Z,Indican Pictures,Thriller/Suspense,6047,659,tt2909124,movie,Blood Widow,0,2014,\N,84,Horror
336,The Other Lamb,2020-04-03T00:00:00Z,IFC Films,Drama,6024,656,tt7737734,movie,The Other Lamb,0,2019,\N,96,"Drama,Horror"
337,Find Your Voice,2020-09-11T00:00:00Z,Indican Pictures,Comedy,6019,656,tt10623148,tvEpisode,Find Your Voice,0,2019,\N,\N,Drama
338,Herself,NA,NA,Drama,6000,654,tt0167191,short,Herself,0,1918,\N,\N,"Romance,Short"
339,By the Grace of God,2019-10-18T00:00:00Z,Music Box Films,Drama,5980,652,tt1458903,short,By the Grace of God,0,2009,\N,37,"Comedy,Drama,Short"
340,Sex and the Future,2020-06-05T00:00:00Z,Indican Pictures,Comedy,5727,624,tt7541838,movie,Sex and the Future,0,2020,\N,90,Comedy
341,Human Nature,2020-03-13T00:00:00Z,Greenwich,Documentary,5487,598,tt0219822,movie,Human Nature,0,2001,\N,96,"Comedy,Drama"
342,Made in Bangladesh,2020-08-28T00:00:00Z,ArtMattan Films,Drama,5322,580,tt11888296,tvEpisode,Made in Bangladesh,0,2020,\N,\N,Documentary
343,Bang Bang,2020-10-23T00:00:00Z,Indican Pictures,Drama,5042,549,tt0201450,movie,Bang Bang,0,1971,\N,85,Comedy
344,Alice,2020-05-15T00:00:00Z,Monument Releasing,Comedy,5000,545,tt0058893,tvEpisode,Alice,0,1965,\N,72,Drama
345,Ottolenghi and the Cakes of…,2020-09-25T00:00:00Z,IFC Films,Documentary,4962,541,NA,NA,NA,NA,NA,NA,NA,NA
346,Last Call,2020-09-18T00:00:00Z,NA,Drama,4894,533,tt0099982,movie,Last Call,0,1991,\N,90,"Drama,Thriller"
347,Farewell Amor,2020-12-11T00:00:00Z,IFC Films,Drama,4689,511,tt11380884,movie,Farewell Amor,0,2020,\N,95,Drama
348,The Disappearance of my Mother,2019-12-06T00:00:00Z,Kino Lorber,Documentary,4658,507,NA,NA,NA,NA,NA,NA,NA,NA
349,No Ordinary Love,2020-10-24T00:00:00Z,Self Distributed,Thriller/Suspense,4656,507,tt0139499,movie,No Ordinary Love,0,1994,\N,104,"Comedy,Romance"
350,Babyteeth,2020-06-19T00:00:00Z,IFC Films,Drama,4507,491,tt1490552,video,Babyteeth,0,2008,\N,27,"Comedy,Drama,Horror"
351,Monero Means Money: Cryptoc…,2020-04-10T00:00:00Z,"rCryptoCurrency, LLC",Documentary,4470,487,NA,NA,NA,NA,NA,NA,NA,NA
352,Tremors,2019-11-29T00:00:00Z,Film Movement,Drama,4349,474,tt0100814,movie,Tremors,0,1990,\N,96,"Comedy,Horror"
353,Give Me Liberty,2019-08-23T00:00:00Z,Music Box Films,Comedy,4134,450,tt0027678,short,Give Me Liberty,0,1936,\N,22,"Biography,Drama,History"
354,Dear Santa,2020-12-04T00:00:00Z,IFC Films,Documentary,4109,448,tt0129360,movie,Dear Santa,0,1998,\N,90,"Comedy,Family,Fantasy"
355,Straight Up,2020-02-28T00:00:00Z,Strand,Romantic Comedy,4075,444,tt0142874,tvMovie,Straight Up,0,1997,\N,\N,\N
356,Countdown,2019-10-25T00:00:00Z,STX Entertainment,Horror,3953,431,tt0062827,movie,Countdown,0,1967,\N,101,"Sci-Fi,Thriller"
357,Stuffed,2019-10-16T00:00:00Z,Music Box Films,Documentary,3849,419,tt0386806,movie,Stuffed,0,2003,\N,50,Documentary
358,King’s Gambit,2020-03-06T00:00:00Z,Indican Pictures,Thriller/Suspense,3816,416,NA,NA,NA,NA,NA,NA,NA,NA
359,The Roads Not Taken,2020-04-10T00:00:00Z,Bleecker Street,Drama,3518,383,tt12427248,tvEpisode,The Roads Not Taken,0,2020,\N,\N,Talk-Show
360,IP Man: Kung Fu Master,2020-12-11T00:00:00Z,Magnet Pictures,Action,3439,375,NA,NA,NA,NA,NA,NA,NA,NA
361,Mr. Klein,1977-11-06T00:00:00Z,Quartet Films,Drama,3310,360,tt0074916,movie,Mr. Klein,0,1976,\N,123,"Crime,Drama,Mystery"
362,Chinese Portrait,2019-12-13T00:00:00Z,Cinema Guild,Documentary,2894,315,tt9434778,movie,Chinese Portrait,0,2018,\N,79,Documentary
363,I’ll Take Your Dead,2019-07-05T00:00:00Z,Breakthrough Ente…,Horror,2831,308,NA,NA,NA,NA,NA,NA,NA,NA
364,A Rainy Day in New York,2020-10-09T00:00:00Z,Amazon Studios,Romantic Comedy,2744,299,tt12484812,tvEpisode,A Rainy Day in New York,0,2020,\N,\N,\N
365,Crock of Gold: A Few Rounds…,2020-12-04T00:00:00Z,Magnolia Pictures,Documentary,2455,267,NA,NA,NA,NA,NA,NA,NA,NA
366,Light From Light,2019-11-01T00:00:00Z,Grasshopper Film,Drama,2448,266,NA,NA,NA,NA,NA,NA,NA,NA
367,Horror Nights,2020-04-24T00:00:00Z,Southern Sykos Pr…,Horror,2415,263,tt11525468,movie,Horror Nights,0,2020,\N,89,Horror
368,Goldie,2020-02-21T00:00:00Z,Film Movement,Drama,2302,251,tt0021920,movie,Goldie,0,1931,\N,68,Comedy
369,"Amigo Skate, Cuba",2020-11-20T00:00:00Z,Indican Pictures,Documentary,2232,243,tt7704726,movie,"Amigo Skate, Cuba",0,2018,\N,72,Documentary
370,The Shade Shepherd,2020-10-16T00:00:00Z,Indican Pictures,Thriller/Suspense,2116,230,tt4887002,movie,The Shade Shepherd,0,2019,\N,100,"Adventure,Drama,Thriller"
371,The Transcendents,2020-06-26T00:00:00Z,Indican Pictures,Thriller/Suspense,2041,222,tt5980638,movie,The Transcendents,0,2018,\N,96,"Music,Mystery,Thriller"
372,A Mermaid in Paris,2020-10-16T00:00:00Z,Sony Pictures,Romantic Comedy,1988,216,NA,NA,NA,NA,NA,NA,NA,NA
373,The Bay of Silence,2020-08-14T00:00:00Z,Vertical Entertai…,Thriller/Suspense,1941,211,tt5617312,movie,The Bay of Silence,0,2020,\N,93,Thriller
374,Edie,2019-09-06T00:00:00Z,Music Box Films,Drama,1652,180,tt1762496,tvEpisode,Edie,0,2007,\N,\N,Documentary
375,American Dharma,2019-11-01T00:00:00Z,Utopia,Documentary,1641,178,tt8804284,movie,American Dharma,0,2018,\N,95,"Biography,Documentary"
376,The Fox Hunter,2020-06-05T00:00:00Z,Indican Pictures,Comedy,1577,171,tt6780790,movie,The Fox Hunter,0,2020,\N,\N,Comedy
377,Be Natural: The Untold Stor…,2019-04-19T00:00:00Z,Zeitgeist,Documentary,1467,159,NA,NA,NA,NA,NA,NA,NA,NA
378,The Painted Bird,2020-07-17T00:00:00Z,IFC Films,Drama,1460,159,tt1667354,movie,The Painted Bird,0,2019,\N,169,"Drama,War"
379,Little Joe,2019-12-06T00:00:00Z,Magnolia Pictures,Drama,1440,157,tt0704517,tvEpisode,Little Joe,0,1976,\N,\N,"Action,Crime,Drama"
380,Queen of the Capital,2020-06-20T00:00:00Z,Mutiny Pictures,Documentary,1269,138,tt8084458,movie,Queen of the Capital,0,2020,\N,80,Documentary
381,Christ Stopped at Eboli,1980-03-23T00:00:00Z,Franklin Media,Drama,1258,137,tt0079010,movie,Cristo si è fermato a Eboli,0,1979,\N,150,Drama
382,Evergreen,2020-12-23T00:00:00Z,Indican Pictures,Drama,1193,130,tt0025094,movie,Evergreen,0,1934,\N,94,"Comedy,Musical,Romance"
383,Fear PHarm,2020-09-11T00:00:00Z,Indican Pictures,Comedy,1157,126,NA,NA,NA,NA,NA,NA,NA,NA
384,PLAYMOBIL,2019-12-06T00:00:00Z,STX Entertainment,Adventure,1123,122,NA,NA,NA,NA,NA,NA,NA,NA
385,Hai Tang Hong,2020-02-21T00:00:00Z,M Star International,Drama,1107,120,tt11833592,movie,Hai Tang Hong,0,2020,\N,90,\N
386,The Gliksmans,2019-09-27T00:00:00Z,Indican Pictures,Comedy,1086,118,tt6305892,movie,The Gliksmans,0,2017,\N,72,Comedy
387,Parallel Policy,2020-12-20T00:00:00Z,Gathr Films,Documentary,1070,116,tt8389750,movie,Parallel Policy,0,\N,\N,\N,Documentary
388,Ága,2019-09-04T00:00:00Z,Big World Pictures,Drama,1048,114,tt7909444,movie,Ága,0,2018,\N,96,Drama
389,Spiral Farm,2019-12-13T00:00:00Z,Indican Pictures,Drama,1042,113,tt7365040,movie,Spiral Farm,0,2019,\N,85,Drama
390,John Wick: Chapter 3 — Para…,2019-05-17T00:00:00Z,Lionsgate,Action,1040,113,NA,NA,NA,NA,NA,NA,NA,NA
391,Another Round,2020-12-18T00:00:00Z,Mongrel Media,Drama,938,102,tt0228018,tvShort,Another Round,0,1993,\N,21,Short
