hours,student
5,1
5,2
5.5,3
5.5,4
6,5
6,6
6,7
6.5,8
6.5,9
6.5,10
6.5,11
6.5,12
7,13
7,14
7,15
7,16
7,17
7,18
7,19
7,20
6.5,21
7.5,22
7.5,23
7.5,24
7.5,25
7.5,26
7.5,27
7.5,28
7.5,29
7.5,30
7.5,31
8,32
8,33
8,34
8,35
8,36
8,37
8,38
8,39
8,40
8.5,41
8.5,42
8.5,43
8.5,44
8.5,45
8.5,46
8.5,47
8.5,48
9,49
9,50
